molecule_name,packed_number,attempted_number
surf_0__yeeR,0,0
int_0__ygeA,0,0
int_0__ygeV,0,0
surf_0__yeeE,0,0
surf_0__yqjA,0,0
int_0__cobT,0,0
surf_0__flk,0,0
surf_0__lepB,0,0
surf_0__lepA,1,9
int_0__cobB,0,1
int_0__yfgD,0,3
int_0__yjbD,0,0
surf_0__wecA,0,0
int_0__yjbJ,0,0
surf_0__clsA,0,0
int_0__yjbR,0,1
int_0__otsA,0,0
int_0__mobA,0,0
int_0__rapZ,0,1
int_0__rapA,0,1
int_0__mglA,0,0
int_0__yfiF,0,1
int_0__msyB,0,2
surf_0__lolC,0,1
int_0__sbcC,0,0
surf_0__dedD,0,1
surf_0__yebT,0,0
int_0__arcA,0,3
int_0__ilvC,0,52
int_0__pstB,0,0
int_0__coaA,0,1
int_0__truB,0,0
int_0__truC,0,1
int_0__zur,0,0
int_0__truD,0,1
int_0__groL,0,33
int_0__ydiU,0,0
int_0__groS,0,23
int_0__ydjA,0,3
int_0__prlF,0,0
int_0__fes,0,0
surf_0__dsbB,1,1
int_0__birA,0,0
int_0__uspG,0,1
surf_0__pqiB,0,0
int_0__frdB,0,0
int_0__frdA,0,0
int_0__uspE,0,1
surf_0__degP,0,24
surf_0__nagE,0,2
int_0__sspA,0,6
int_0__sspB,0,1
surf_0__tap,1,5
int_0__ulaR,0,0
int_0__oxyR,0,1
surf_0__fdoH,0,0
surf_0__fdoI,0,0
int_0__ycdY,0,1
int_0__ycdX,0,0
surf_0__lnt,0,0
surf_0__wzc,0,0
int_0__narP,0,0
int_0__yehS,0,0
int_0__rep,0,0
surf_0__lptG,0,1
surf_0__lptF,0,1
int_0__rluD,0,1
int_0__rluB,0,1
int_0__rluC,0,0
int_0__pepB,0,3
int_0__pepA,0,1
int_0__pepD,0,3
int_0__pepE,0,0
int_0__pepP,0,0
int_0__pepQ,0,2
int_0__pepT,0,0
surf_0__tnaB,0,0
int_0__thyA,1,1
int_0__sufS,1,1
int_0__sufA,0,0
int_0__sufC,0,1
int_0__potG,0,0
int_0__sufE,0,0
int_0__potA,0,0
int_0__aldB,0,0
int_0__ygfZ,0,2
int_0__yefM,0,1
int_0__sthA,0,0
surf_0__cydC,0,0
int_0__mutL,0,0
surf_0__cydA,0,0
int_0__mutS,0,0
int_0__mutT,0,0
int_0__mutY,0,0
int_0__ygfB,0,2
